iter_idx,total edge splits,total component splits,number_of_components,number_of_communities,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp,ami,ars,urs,homog
17,2000,18,67,114,0.6211175461020796,0.10225985940281712,13757,0,24,59535,0.12310818687508844,0.05031073463384921,0.4381910370808502,0.06642459915052974
18,2100,19,70,117,0.3057747038539286,0.10225985940281712,13757,0,24,59535,0.12310818687508844,0.05031073463384921,0.4381910370808502,0.06642459915052974
19,2200,20,73,119,0.6367978870451089,0.10225985940281712,13757,0,24,59535,0.12310818687508844,0.05031073463384921,0.4381910370808502,0.06642459915052974
20,2300,21,75,131,0.6552675145017629,0.10225985940281712,13757,0,24,59535,0.12310818687508844,0.05031073463384921,0.4381910370808502,0.06642459915052974
21,2400,22,77,128,0.6358440175813126,0.10225985940281712,13756,0,24,59535,0.12317975327439021,0.05048683182142266,0.43836897080117526,0.06655745970596927
22,2500,23,79,128,0.6097948372892844,0.10225985940281712,13756,0,24,59535,0.2599333020844284,0.12846177686245056,0.4941053658988262,0.15079076355390406
23,2601,24,83,126,0.5998125629559833,0.10225985940281712,13756,0,24,59535,0.25991585878715795,0.12861126864783792,0.49421599209106226,0.15089817203942338
24,2701,25,90,135,0.6577021628669285,0.10225985940281712,13755,0,24,59535,0.3964535317543404,0.22689817723059955,0.5615635954977071,0.2495633506774186
25,2801,26,93,129,0.6303911137636703,0.10225985940281712,13755,0,24,59535,0.3964535317543404,0.22689817723059955,0.5615635954977071,0.2495633506774186
26,2901,27,98,133,0.6140357735697181,0.10225985940281712,13755,0,24,59535,0.3965728716084303,0.22764771845325776,0.5620902721957571,0.25009164180929117
27,3001,28,101,144,0.6357725692895312,0.10225985940281712,13755,0,24,59535,0.3965728716084303,0.22764771845325776,0.5620902721957571,0.25009164180929117
28,3101,29,110,155,0.6425617454308549,0.10225985940281712,13754,0,24,59535,0.39862478139880847,0.22964449054995692,0.563449712152377,0.252280205369947
29,3201,30,114,151,0.6419537637457589,0.10225985940281712,13754,0,24,59535,0.39862478139880847,0.22964449054995692,0.563449712152377,0.252280205369947
30,3301,31,116,157,0.6343903450601844,0.10225985940281712,13754,0,24,59535,0.39862478139880847,0.22964449054995692,0.563449712152377,0.252280205369947
31,3401,32,118,153,0.6456138120818936,0.10225985940281712,13753,0,24,59535,0.39862651500029844,0.22963425811594596,0.5634292091837004,0.25228165840083566
32,3501,33,122,183,0.6003146950823062,0.10225985940281712,13753,0,24,59535,0.398672262189022,0.22982058301387312,0.5635550477177607,0.25245129967808805
33,3601,34,125,179,0.6446832356006843,0.10225985940281712,13752,0,24,59535,0.48322034451327184,0.2944856793558838,0.6061651489601327,0.32288824087530854
34,3701,35,134,177,0.6730405285840936,0.10225985940281712,13752,0,24,59535,0.48322034451327184,0.2944856793558838,0.6061651489601327,0.32288824087530854
35,3801,36,144,186,0.6569781736641656,0.10225985940281712,13752,0,24,59535,0.5976143671106553,0.40294377139352366,0.6763606044157178,0.4434293488719359
36,3901,37,150,197,0.6755044261433678,0.10225985940281712,13752,0,24,59535,0.6039193993326814,0.4032146639452954,0.6765271690643134,0.45036996081814645
37,4001,38,156,200,0.6584571081354896,0.10225985940281712,13752,0,24,59535,0.6039193993326814,0.4032146639452954,0.6765271690643134,0.45036996081814645
38,4101,39,161,201,0.7154073122075483,0.10225985940281712,13751,0,24,59535,0.6081510303596122,0.40706495506024953,0.6788974712582887,0.45475680478851876
39,4201,40,167,191,0.672186914878159,0.10225985940281712,13751,0,24,59535,0.6085666755761786,0.40726418517189805,0.6790196970798817,0.4552405211317611
40,4301,41,168,192,0.6750050571801697,0.10225985940281712,13750,0,24,59535,0.6085687270149694,0.40725052783712035,0.679006668914764,0.4552429739011368
41,4401,42,170,198,0.6776585856204643,0.10225985940281712,13749,0,24,59535,0.7524973059028134,0.6336478833662758,0.8114216701939949,0.6311467398071575
