,component,num_of_addrs
873,873,7
874,874,4
875,875,2
876,876,2
877,877,2
878,878,6
879,879,6
880,880,2
881,881,3
882,882,3
883,883,5
884,884,2
885,885,2
886,886,4
887,887,9
888,888,2
889,889,3
890,890,2
891,891,3
892,892,2
893,893,2
894,894,9
895,895,21
896,896,6
897,897,7
898,898,2
899,899,5
900,900,2
901,901,4
902,902,7
903,903,7
904,904,6
905,905,2
906,906,6
907,907,18
908,908,2
909,909,5
910,910,3
911,911,5
912,912,13
913,913,13
914,914,2
915,915,2
916,916,2
917,917,2
918,918,2
919,919,3
920,920,8
921,921,2
922,922,2
923,923,4
924,924,3
925,925,2
926,926,2
927,927,2
928,928,17
929,929,3
930,930,4
931,931,2
932,932,12
933,933,2
934,934,2
935,935,7
936,936,15
937,937,2
938,938,26
939,939,2
940,940,2
941,941,2
942,942,2
943,943,4
944,944,2
945,945,5
946,946,2
947,947,3
948,948,16
949,949,6
950,950,12
951,951,2
952,952,2
953,953,5
954,954,3
955,955,3
956,956,2
957,957,4
958,958,3
959,959,2
960,960,6
961,961,11
962,962,4
963,963,2
964,964,2
965,965,6
966,966,2
967,967,2
968,968,2
969,969,5
970,970,2
971,971,9
972,972,9
973,973,4
974,974,21
975,975,4
976,976,3
977,977,2
978,978,4
979,979,2
980,980,3
981,981,7
982,982,5
983,983,5
984,984,14
985,985,3
986,986,2
987,987,2
988,988,6
989,989,12
990,990,6
991,991,9
992,992,5
993,993,6
994,994,2
995,995,9
996,996,7
997,997,2
998,998,10
999,999,2
1000,1000,3
1001,1001,2
1002,1002,13
1003,1003,3
1004,1004,2
1005,1005,4
1006,1006,2
1007,1007,2
1008,1008,5
1009,1009,3
1010,1010,5
1011,1011,13
1012,1012,7
1013,1013,4
1014,1014,2
1015,1015,5
1016,1016,5
1017,1017,2
1018,1018,9
1019,1019,3
1020,1020,4
1021,1021,4
1022,1022,4
1023,1023,5
1024,1024,3
1025,1025,2
1026,1026,6
1027,1027,4
1028,1028,4
1029,1029,6
1030,1030,2
1031,1031,3
1032,1032,2
1033,1033,3
1034,1034,3
1035,1035,2
1036,1036,2
1037,1037,2
1038,1038,2
1039,1039,3
1040,1040,3
1041,1041,3
1042,1042,5
1043,1043,4
1044,1044,12
1045,1045,4
1046,1046,2
1047,1047,2
1048,1048,3
1049,1049,4
1050,1050,2
1051,1051,4
1052,1052,50
1053,1053,4
1054,1054,19
1055,1055,6
1056,1056,4
1057,1057,3
1058,1058,2
1059,1059,2
1060,1060,2
1061,1061,4
1062,1062,4
1063,1063,2
1064,1064,12
1065,1065,5
1066,1066,13
1067,1067,4
1068,1068,2
1069,1069,7
1070,1070,10
1071,1071,4
1072,1072,3
1073,1073,9
1074,1074,4
1075,1075,7
1076,1076,2
1077,1077,4
1078,1078,4
1079,1079,4
1080,1080,3
1081,1081,5
1082,1082,2
1083,1083,3
1084,1084,18
1085,1085,7
1086,1086,3
1087,1087,4
1088,1088,2
1089,1089,13
1090,1090,3
1091,1091,2
1092,1092,11
1093,1093,2
1094,1094,5
1095,1095,4
1096,1096,18
1097,1097,4
1098,1098,3
1099,1099,135
1100,1100,3
1101,1101,2
1102,1102,5
1103,1103,2
1104,1104,3
1105,1105,3
1106,1106,5
1107,1107,2
1108,1108,3
1109,1109,3
1110,1110,2
1111,1111,3
1112,1112,4
1113,1113,2
1114,1114,6
1115,1115,8
1116,1116,2
1117,1117,3
1118,1118,16
1119,1119,3
1120,1120,3
1121,1121,2
1122,1122,7
1123,1123,15
1124,1124,3
