component,num_of_addrs,address_ids,modularity
72,4,"[166, 167, 168, 169]",0.0
73,2,"[170, 171]",0.0
74,9,"[172, 173, 174, 175, 176, 177, 178, 179, 180]",0.0
75,2,"[181, 182]",0.0
76,2,"[183, 184]",0.0
77,3,"[185, 186, 187]",0.0
78,3,"[190, 191, 192]",0.0
79,2,"[193, 194]",0.0
80,2,"[195, 196]",0.0
81,2,"[199, 200]",0.0
82,2,"[201, 202]",0.0
83,2,"[203, 204]",0.0
84,2,"[205, 206]",0.0
85,2,"[207, 208]",0.0
86,4,"[209, 210, 211, 212]",0.0
87,2,"[213, 214]",0.0
88,2,"[215, 216]",0.0
89,2,"[217, 218]",0.0
90,2,"[219, 220]",0.0
91,2,"[222, 223]",0.0
92,2,"[224, 225]",0.0
93,2,"[226, 227]",0.0
94,3,"[228, 229, 230]",0.0
95,4,"[231, 232, 233, 234]",0.0
96,2,"[235, 236]",0.0
97,2,"[237, 238]",0.0
98,2,"[239, 240]",0.0
99,2,"[241, 242]",0.0
100,2,"[243, 244]",0.0
101,2,"[245, 246]",0.0
102,2,"[247, 248]",0.0
103,2,"[249, 250]",0.0
104,9,"[251, 252, 253, 254, 255, 256, 257, 258, 259]",0.0
105,2,"[260, 261]",0.0
106,2,"[262, 263]",0.0
107,2,"[264, 265]",0.0
108,2,"[266, 267]",0.0
109,2,"[268, 269]",0.0
110,3,"[270, 271, 272]",0.0
111,2,"[273, 274]",0.0
112,2,"[275, 276]",0.0
113,2,"[277, 278]",0.0
114,2,"[279, 280]",0.0
115,2,"[281, 282]",0.0
116,2,"[283, 284]",0.0
117,3,"[285, 286, 287]",0.0
118,3,"[288, 289, 290]",0.0
119,2,"[291, 292]",0.0
120,2,"[293, 294]",0.0
121,2,"[295, 296]",0.0
122,2,"[297, 298]",0.0
123,2,"[299, 300]",0.0
124,2,"[301, 302]",0.0
125,2,"[303, 304]",0.0
126,2,"[305, 306]",0.0
127,2,"[307, 308]",0.0
128,2,"[310, 311]",0.0
129,2,"[312, 313]",0.0
130,2,"[314, 315]",0.0
131,3,"[316, 317, 318]",0.0
132,2,"[319, 320]",0.0
133,2,"[321, 322]",0.0
134,3,"[323, 324, 325]",0.0
135,2,"[326, 327]",0.0
136,2,"[328, 329]",0.0
137,2,"[330, 331]",0.0
138,2,"[332, 333]",0.0
139,3,"[334, 335, 336]",0.0
140,2,"[337, 338]",0.0
141,2,"[339, 340]",0.0
142,3,"[341, 342, 343]",0.0
143,2,"[344, 345]",0.0
144,2,"[346, 347]",0.0
145,2,"[348, 349]",0.0
146,2,"[350, 351]",0.0
147,3,"[352, 353, 354]",0.0
148,2,"[355, 356]",0.0
149,2,"[357, 358]",0.0
150,3,"[359, 360, 361]",0.0
151,3,"[362, 363, 364]",0.0
152,2,"[365, 366]",0.0
153,2,"[367, 368]",0.0
154,2,"[369, 370]",0.0
155,2,"[371, 372]",0.0
156,2,"[373, 374]",0.0
157,2,"[375, 376]",0.0
158,2,"[377, 378]",0.0
159,2,"[379, 380]",0.0
160,2,"[381, 382]",0.0
161,2,"[383, 384]",0.0
162,2,"[385, 386]",0.0
163,2,"[387, 388]",0.0
164,2,"[389, 390]",0.0
165,2,"[391, 392]",0.0
166,2,"[393, 394]",0.0
167,2,"[395, 396]",0.0
168,2,"[397, 398]",0.0
169,2,"[399, 400]",0.0
170,2,"[401, 402]",0.0
171,2,"[403, 404]",0.0
172,3,"[405, 406, 407]",0.0
173,2,"[408, 409]",0.0
174,2,"[410, 411]",0.0
175,2,"[412, 413]",0.0
176,2,"[414, 415]",0.0
177,2,"[416, 417]",0.0
178,2,"[418, 419]",0.0
179,2,"[420, 421]",0.0
180,3,"[422, 423, 424]",0.0
181,3,"[425, 426, 427]",0.0
182,2,"[428, 429]",0.0
183,3,"[430, 431, 432]",0.0
184,2,"[433, 434]",0.0
