iter_idx,total edge splits,total component splits,number_of_components,number_of_communities,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp,ami,ars,urs,homog
20,2300,21,64,114,0.6692948798806152,0.5413091544849608,14726,0,22,70424,0.08887369318451448,0.03619658693369733,0.41698384087647894,0.04742057683656411
21,2400,22,71,113,0.7135380163335379,0.5413091544849608,14725,0,22,70424,0.09233721276149245,0.03775116539455999,0.41822496931657954,0.049362436803843404
22,2500,23,72,131,0.6975286400091467,0.5413091544849608,14725,0,22,70424,0.09233721276149245,0.03775116539455999,0.41822496931657954,0.049362436803843404
23,2600,24,81,134,0.7339437324171628,0.5413091544849608,14725,0,22,70424,0.09266202812339314,0.037923846402844484,0.4183580253575812,0.049615932562372414
24,2700,25,86,145,0.7567349924069395,0.5413091544849608,14724,0,22,70424,0.09266272528280836,0.03792173792493115,0.41833047598555617,0.04961634694091188
25,2800,26,91,156,0.7710963094179426,0.5413091544849608,14724,0,22,70424,0.09266272528280836,0.03792173792493115,0.41833047598555617,0.04961634694091188
26,2900,27,101,168,0.7586242296141859,0.5413091544849608,14723,0,22,70424,0.09266342255784402,0.037919629227132545,0.41830292449519474,0.04961676138709605
27,3000,28,106,170,0.7616363211649327,0.5413091544849608,14723,0,22,70424,0.13843310289780353,0.05595703224812348,0.43211380475066974,0.0758759050940953
28,3100,29,114,183,0.8146175591431066,0.5413091544849608,14722,0,22,70424,0.16005092609389443,0.0655184015554362,0.4394127825048506,0.08865099698412057
29,3200,30,120,189,0.7509131837246038,0.5413091544849608,14722,0,22,70424,0.16019458227453034,0.06567520682698867,0.43953437575179644,0.0887874615030187
30,3300,31,133,201,0.8329706710199105,0.5413091544849608,14720,0,22,70424,0.35181307487658614,0.18689929619207415,0.5293621893618718,0.21878292519503814
31,3400,32,141,195,0.771710856080713,0.5413091544849608,14720,0,22,70424,0.38290818318685976,0.1885724872157222,0.5305447041239214,0.24304549112569454
32,3500,33,151,191,0.7684315229448045,0.5413091544849608,14719,0,22,70424,0.3826917148673515,0.1886537877528485,0.5306633288379221,0.24313650794513492
33,3600,34,157,200,0.7713313770585513,0.5413091544849608,14718,0,22,70424,0.6124377699085589,0.4768048038466913,0.7207035655524652,0.4594601709059589
34,3700,35,164,200,0.7734281336944148,0.5413091544849608,14716,0,22,70424,0.7023782223806775,0.5726288458472054,0.777484011014014,0.5665579816116906
35,3800,36,171,206,0.7921540477750925,0.5413091544849608,14715,0,22,70424,0.7415430352835567,0.6097412682500772,0.7981883598622571,0.6103532318353005
36,3900,37,178,211,0.7759999081896246,0.5413091544849608,14715,0,22,70424,0.8107853070219102,0.709941352141801,0.8535806715155347,0.7056639797466217
37,4000,38,185,224,0.7802860548589123,0.5413091544849608,14714,0,22,70424,0.8632575484250419,0.7919560506877551,0.8970038960569481,0.7860515275246119
38,4100,39,189,208,0.8151046830961671,0.5413091544849608,14714,0,22,70424,0.8632575484250419,0.7919560506877551,0.8970038960569481,0.7860515275246119
39,4200,40,194,213,0.7760390218125506,0.5413091544849608,14714,0,22,70424,0.8632575484250419,0.7919560506877551,0.8970038960569481,0.7860515275246119
40,4300,41,198,223,0.8085723841301818,0.5413091544849608,14714,0,22,70424,0.8632575484250419,0.7919560506877551,0.8970038960569481,0.7860515275246119
41,4400,42,202,228,0.7994439315033727,0.5413091544849608,14714,0,22,70424,0.9418618852547069,0.9641943359830576,0.9829739032650456,0.925012119877836
42,4500,43,205,226,0.8278583662233213,0.5413091544849608,14714,0,22,70424,0.9418618852547069,0.9641943359830576,0.9829739032650456,0.925012119877836
43,4700,44,207,255,0.8496059615972177,0.5413091544849608,14713,0,22,70424,0.9418609759262162,0.9641913858008767,0.982972965391439,0.9250107917356374
